"Date","VKOSPI_Close","VKOSPI_Change"
2015-12-16,16.27,-7.5
2015-12-17,14.34,-11.86
2015-12-18,14.16,-1.26
2015-12-21,15.24,7.63
2015-12-22,14.63,-4
2015-12-23,13.33,-8.89
2015-12-24,13.37,0.3
2015-12-28,14.54,8.75
2015-12-29,13.9,-4.4
2015-12-30,14.18,2.01
2016-01-04,16.25,14.6
2016-01-05,15.92,-2.03
2016-01-06,16.63,4.46
2016-01-07,19.02,14.37
2016-01-08,17.82,-6.31
2016-01-11,20.06,12.57
2016-01-12,20.48,2.09
2016-01-13,18.05,-11.87
2016-01-14,19.06,5.6
2016-01-15,20.7,8.6
2016-01-18,21.22,2.51
2016-01-19,20.01,-5.7
2016-01-20,24.04,20.14
2016-01-21,24.15,0.46
2016-01-22,20.23,-16.23
2016-01-25,19.11,-5.54
2016-01-26,20.41,6.8
2016-01-27,19.19,-5.98
2016-01-28,18.77,-2.19
2016-01-29,17.93,-4.48
2016-02-01,17.41,-2.9
2016-02-02,17.38,-0.17
2016-02-03,18.43,6.04
2016-02-04,16.74,-9.17
2016-02-05,18.15,8.42
2016-02-11,22.55,24.24
2016-02-12,23.47,4.08
2016-02-15,21.1,-10.1
2016-02-16,19.08,-9.57
2016-02-17,18.55,-2.78
2016-02-18,17.33,-6.58
2016-02-19,17.12,-1.21
2016-02-22,16.9,-1.29
2016-02-23,16.61,-1.72
2016-02-24,17.13,3.13
2016-02-25,16.95,-1.05
2016-02-26,16.82,-0.77
2016-02-29,17.56,4.4
2016-03-02,15.31,-12.81
2016-03-03,14.33,-6.4
2016-03-04,14.11,-1.54
2016-03-07,13.96,-1.06
2016-03-08,14.08,0.86
2016-03-09,14.24,1.14
2016-03-10,13.63,-4.28
2016-03-11,13.52,-0.81
2016-03-14,13.9,2.81
2016-03-15,13.97,0.5
2016-03-16,14.13,1.15
2016-03-17,13.26,-6.16
2016-03-18,12.94,-2.41
2016-03-21,13.51,4.4
2016-03-22,12.68,-6.14
2016-03-23,12.71,0.24
2016-03-24,12.64,-0.55
2016-03-25,12.28,-2.85
2016-03-28,12.78,4.07
2016-03-29,12.3,-3.76
2016-03-30,11.9,-3.25
2016-03-31,12.33,3.61
2016-04-01,13.56,9.98
2016-04-04,13.25,-2.29
2016-04-05,13.83,4.38
2016-04-06,13.31,-3.76
2016-04-07,13.06,-1.88
2016-04-08,13.07,0.08
2016-04-11,13.35,2.14
2016-04-12,12.51,-6.29
2016-04-14,12.48,-0.24
