"Date","KODEX 200_Close","KODEX 200_NAV","KODEX 200_Premium"
2019-02-28,28805,28854.21,-0.17
2019-03-04,28665,28725.24,-0.21
2019-03-05,28465,28520.05,-0.19
2019-03-06,28385,28459.73,-0.26
2019-03-07,28300,28362.28,-0.22
2019-03-08,27915,27954.59,-0.14
2019-03-11,27935,27977.93,-0.15
2019-03-12,28220,28245.78,-0.09
2019-03-13,28015,28072.87,-0.21
2019-03-14,28090,28136.63,-0.17
2019-03-15,28415,28461.55,-0.16
2019-03-18,28440,28465.89,-0.09
2019-03-19,28410,28454.36,-0.16
2019-03-20,28445,28464.66,-0.07
2019-03-21,28640,28709.91,-0.24
2019-03-22,28705,28784.36,-0.28
2019-03-25,28150,28216.16,-0.23
2019-03-26,28170,28230.11,-0.21
2019-03-27,28165,28198.16,-0.12
2019-03-28,28010,28043.19,-0.12
2019-03-29,28175,28182.72,-0.03
2019-04-01,28550,28566,-0.06
2019-04-02,28660,28705.74,-0.16
2019-04-03,29080,29098.44,-0.06
2019-04-04,29110,29149.52,-0.14
2019-04-05,29165,29202.48,-0.13
2019-04-08,29095,29171.79,-0.26
2019-04-09,29145,29204.54,-0.2
2019-04-10,29295,29325.34,-0.1
2019-04-11,29230,29274.62,-0.15
2019-04-12,29300,29369.53,-0.24
2019-04-15,29420,29470.85,-0.17
2019-04-16,29535,29594.5,-0.2
2019-04-17,29515,29565.16,-0.17
2019-04-18,29045,29112.44,-0.23
2019-04-19,29050,29119.79,-0.24
2019-04-22,29055,29118.04,-0.22
2019-04-23,29105,29179.1,-0.25
2019-04-24,28790,28901.66,-0.39
2019-04-25,28745,28814.97,-0.24
2019-04-26,28575,28199.85,1.33
2019-04-29,28675,28746.23,-0.25
2019-04-30,28495,28557.7,-0.22
2019-05-02,28620,28678.26,-0.2
2019-05-03,28365,28431.61,-0.23
2019-05-07,28140,28195.86,-0.2
2019-05-08,28010,28079.75,-0.25
2019-05-09,27190,27164.43,0.09
2019-05-10,27240,27268.97,-0.11
2019-05-13,26920,26935.23,-0.06
2019-05-14,26870,26919,-0.18
2019-05-15,26995,27027.27,-0.12
2019-05-16,26615,26661.61,-0.17
2019-05-17,26440,26497.38,-0.22
2019-05-20,26510,26557.63,-0.18
2019-05-21,26640,26674.52,-0.13
2019-05-22,26700,26726.95,-0.1
2019-05-23,26665,26699.67,-0.13
2019-05-24,26470,26503.58,-0.13
2019-05-27,26490,26501.03,-0.04
2019-05-28,26530,26532.05,-0.01
2019-05-29,26170,26197.27,-0.1
2019-05-30,26410,26453.24,-0.16
2019-05-31,26365,26449.08,-0.32
2019-06-03,26800,26875.99,-0.28
2019-06-04,26750,26825.17,-0.28
